Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Profit growth,Profit growth 3Years,Sales growth,Sales growth 3Years,Return on capital employed,Average return on capital employed 3Years,rocev2,epsgeni,gordanIV,discount2,discount1,geniscore1,momentumscore,CashFlow,master score,epsgrowthbydiscount,epsgrowthbydiscount2,epsgrowthbyprice2,accumulation,roicreinv,Return over 1week,Return over 1month,Return over 3months,volumeincr,rsiincr,equityreduce,debtgeni,epsgrowth,Canslim,capacity expansion,BSchklist,cyclicaltriggers,margin,garp,fundamental value,Volume,Volume 1week average,Volume 1month average,debtreduce,npmargin,opmargin,pubholdingdecr,Quarterly Growers,YOY Quarterly sales growth,YOY Quarterly profit growth,Price to Earning,Promoter holding,Change in promoter holding,Industry PE,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Market Capitalization
Indian Energy Ex,540750,IEX,INE022Q01020,Capital Markets,Exchange and Data Platform,139.29,17.15,12.17,13.10,7.95,53.61,51.64,1.65,3.01,0.07,0.34,-0.26,6.81,1,0.23,9,-0.14,0.37,0.65,0,0.00,0.67,-0.34,3.81,0,0,0,5,1.08,0,0,9,2,0.32,0,0,10859629,25669366,33264614,2,0.02,0.52,0,1,9.34,14.64,27.61,0.00,0.00,63.63,141.22,154.01,141.30,154.16,12420.39
Indian Metals,533047,IMFA,INE919H01018,Ferrous Metals,Ferro & Silica Manganese,1174.20,-13.52,-8.87,-6.18,-0.49,21.29,21.03,0.60,2.01,0.09,0.20,0.11,4.26,0,0.41,9,-0.32,0.19,0.99,0,0.00,-3.46,-15.96,7.31,0,0,0,3,0.96,0,0,4,3,0.08,0,0,293767,228687,384305,1,0.04,0.11,0,1,3.86,-22.03,19.17,58.69,0.00,13.77,1305.69,1050.62,1311.06,1049.38,6335.29
Indrapr.Medical,532150,INDRAMEDCO,INE681B01017,Healthcare Services,Hospital,402.50,18.24,36.90,6.51,15.16,39.10,37.26,1.17,2.02,0.09,0.36,-0.03,5.27,0,0.29,8,-0.03,0.37,1.04,0,0.00,-2.47,-12.48,-27.64,0,0,0,3,1.02,0,0,7,3,0.11,0,0,130300,151036,169654,1,0.10,0.12,0,0,8.92,16.65,21.12,51.00,0.00,51.44,467.96,465.68,470.63,466.31,3689.84
Indus Towers,534816,INDUSTOWER,INE121J01017,Telecom - Services,Telecom - Infrastructure,433.85,24.07,16.21,7.80,2.81,28.99,20.80,0.94,2.01,0.13,0.31,-0.11,4.71,3,0.14,9,-0.08,0.31,0.94,1,0.00,0.10,6.14,26.49,0,1,0,1,1.03,0,0,7,1,0.35,0,0,15219843,9942530,9824179,0,0.25,0.42,0,0,9.68,-17.28,12.23,51.03,1.03,17.11,411.66,383.27,410.75,382.76,114456.69
Intl. Conveyors,509709,INTLCONV,INE575C01027,Industrial Manufacturing,Industrial Products,81.67,-19.41,72.94,34.91,-9.55,27.09,22.15,0.86,1.09,0.30,0.70,0.64,5.07,0,0.05,10,-0.02,-0.02,-0.03,0,0.00,-4.10,-8.72,-16.21,0,0,0,3,-0.03,0,0,9,3,0.07,0,0,59937,80480,77097,1,-0.11,0.18,1,0,47.22,-164.75,7.64,70.07,0.09,32.05,89.13,88.97,89.44,89.04,517.62
ITC,500875,ITC,INE154A01025,Diversified FMCG,Diversified FMCG,329.20,0.70,9.11,9.10,7.49,36.79,37.39,1.13,2.01,0.14,0.29,-0.07,5.50,0,0.21,7,0.14,0.31,1.08,0,0.00,-2.36,-17.78,-20.13,0,0,0,3,1.06,0,0,8,2,0.11,0,0,32132867,22533272,45512990,0,-0.04,0.21,0,0,-2.44,2.91,20.44,0.00,0.00,46.51,382.05,405.59,384.21,406.36,412453.36
Jyoti Resins,514448,,INE577D01013,Chemicals & Petrochemicals,Specialty Chemicals,1152.55,4.44,58.98,11.81,16.01,49.98,62.92,1.65,2.03,0.14,0.48,0.13,12.78,2,0.23,9,0.20,0.49,0.30,0,0.00,2.47,4.77,-5.18,0,1,0,5,1.03,0,0,9,3,0.09,0,0,4720,5240,7459,2,-0.02,0.16,0,0,13.99,5.34,18.85,53.89,3.06,27.05,1157.86,1245.17,1158.08,1246.10,1383.06
K.P. Energy,539686,KPEL,INE127T01021,Power,Power Generation,314.50,72.73,87.58,84.09,55.25,41.72,40.93,1.36,3.07,0.22,0.51,0.09,5.57,0,-0.09,7,0.41,0.76,1.57,0,0.00,-4.67,-5.85,-22.93,0,0,0,2,1.50,0,1,5,1,0.06,0,0,208356,359665,353839,0,-0.02,0.12,0,0,51.39,44.11,15.76,44.88,0.00,25.67,359.85,410.52,361.70,411.48,2104.23
Kamdhenu,532741,KAMDHENU,INE390H01020,Industrial Products,Iron & Steel Products,22.16,17.63,31.55,7.64,7.63,28.91,28.39,0.87,2.03,0.19,0.49,0.37,5.79,0,0.30,7,0.31,0.46,0.95,0,0.00,-0.94,0.36,-17.34,0,0,0,5,0.94,0,0,9,2,0.13,0,0,920604,880825,1599083,2,0.12,0.13,0,0,0.50,17.68,8.97,49.03,0.00,22.13,24.88,29.49,24.99,29.56,624.65
Kingfa Science,524019,KINGFA,INE473D01015,Industrial Products,Plastic Products - Industrial,4336.10,17.32,47.72,12.53,18.52,30.55,28.44,0.84,1.01,0.06,0.26,-0.50,2.08,1,0.06,7,0.00,0.23,0.88,0,0.23,-0.33,15.36,-8.34,0,1,0,5,0.88,0,1,4,2,0.06,0,0,2570,4455,8360,2,0.03,0.08,0,0,11.32,10.41,37.32,67.02,0.00,21.35,4243.10,3902.83,4239.31,3898.48,5876.01
Kothari Petroche,,KOTHARIPET,INE720A01015,Chemicals & Petrochemicals,Petrochemicals,120.47,1.22,24.35,0.09,14.81,29.99,33.72,0.94,3.03,0.17,0.52,0.40,7.84,0,0.08,11,0.43,0.56,0.99,0,0.25,0.08,-2.18,-14.21,0,0,0,3,1.07,0,1,7,4,0.10,0,0,24384,34584,43551,1,0.09,0.11,0,1,-4.41,13.96,10.69,72.22,1.24,18.62,130.71,149.44,131.12,149.73,708.92
